Name of Representative,State - District,Party,Date Signed
Tammy Baldwin,Wisconsin - 2,Democratic,08/01/2007
Leonard Boswell,Iowa - 3,Democratic,02/14/2008
Robert Brady,Pennsylvania - 1,Democratic,07/24/2007
Yvette Clarke,New York - 11,Democratic,06/06/2007
"William Lacy Clay , Jr",Missouri - 1,Democratic,05/01/2007
Steve Cohen,Tennessee - 9,Democratic,08/04/2007
Danny K. Davis,Illinois - 7,Democratic,11/05/2007
Keith Ellison,Minnesota - 5,Minnesota Democratic-Farmer-Labor Party,06/28/2007
Sam Farr,California - 17,Democratic,07/12/2007
Bob Filner,California - 51,Democratic,07/12/2007
Raul Grijalva,Arizona - 7,Democratic,12/05/2007
Sheila Jackson-Lee,Texas - 18,Democratic,08/04/2007
Hank Johnson,Georgia - 4,Democratic,06/28/2007
Carolyn Kilpatrick,Michigan - 13,Democratic,09/07/2007
Barbara Lee,California - 9,Democratic,06/07/2007
Jim McDermott,Washington - 7,Democratic,07/10/2007
James Moran,Virginia - 8,Democratic,07/10/2007
Gwen Moore,Wisconsin - 4,Democratic,12/19/2007
Donald M. Payne,New Jersey - 10,Democratic,08/01/2007
Jan Schakowsky,Illinois - 9,Democratic,05/01/2007
