Code,Subdivision name ( fr ),Subdivision category
FR-ARA,Auvergne-Rhône-Alpes,metropolitan region
FR-BFC,Bourgogne-Franche-Comté,metropolitan region
FR-BRE,Bretagne,metropolitan region
FR-CVL,Centre-Val de Loire,metropolitan region
FR-COR,Corse,collectivity
FR-GES,Grand-Est,metropolitan region
FR-GUA,Guadeloupe,overseas region
FR-HDF,Hauts-de-France,metropolitan region
FR-IDF,Île-de-France,metropolitan region
FR-MAY,Mayotte,overseas region
FR-NOR,Normandie,metropolitan region
FR-NAQ,Nouvelle-Aquitaine,metropolitan region
FR-OCC,Occitanie,metropolitan region
FR-PDL,Pays-de-la-Loire,metropolitan region
FR-PAC,Provence-Alpes-Côte-dAzur,metropolitan region
FR-LRE,La Réunion,overseas region
