#,Name,Pos,College,GP,Seasons
79/80,Coy Bacon,DL,Jackson State,51,1978-81
57,John Badaczewski,OL,Case Western Reserve,36,1949-51
26,Rick Badanjek,RB,Maryland,6,1986
74,Brad Badger,OT,Stanford,42,1997-99
00,Steve Bagarus,RB,Notre Dame,26,"1945-46 , 1948"
24,Champ Bailey,CB,Georgia,80,1999-03
92,Chris Baker,DL,Hampton,76,2011-16
45/49,Sam Baker,K / P / RB,Oregon State,59,"1953 , 1956-59"
93,Kentwan Balmer,DE,North Carolina,3,2011
72/97,Romeo Bandison,DT,Oregon,14,1995-96
61,Don Bandy,G,Tulsa,26,1967-68
16,Brandon Banks,RS / WR,Kansas State,41,2010-12
58,Carl Banks,LB,Michigan State,15,1993
12,Tony Banks,QB,Michigan State,15,2001
68/69,Willie Banks,G,Alcorn State,19,1968-69
15,Jim Barber,OT,San Francisco,76,1935-41
59,Shawn Barber,LB,Richmond,49,1998-01
81,Ken Barefoot,TE,Virginia Tech,8,1968
73,Ken Barfield,OT,Mississippi,8,1954
4,Bryan Barker,P,Santa Clara,44,2001-03
