Year,Mark,Athlete,Place
1973,66.10,Ruth Fuchs ( GDR ),Edinburgh
1974,67.22,Ruth Fuchs ( GDR ),Rome
1975,66.46,Ruth Fuchs ( GDR ),Sudbury
1976,69.12,Ruth Fuchs ( GDR ),Berlin
1977,69.32,Kate Schmidt ( USA ),Fürth
1978,69.16,Ruth Fuchs ( GDR ),Prague
1979,69.52,Ruth Fuchs ( GDR ),Dresden
1980,70.08,Tatyana Biryulina ( URS ),Podolsk
1981,71.88,Antoaneta Todorova ( BUL ),Zagreb
1982,74.20,Sofia Sakorafa ( GRE ),Hania
1983,74.76,Tiina Lillak ( FIN ),Tampere
1984,74.72,Petra Felke ( GDR ),Celje
1985,75.40,Petra Felke ( GDR ),Schwerin
1986,77.44,Fatima Whitbread ( GBR ),Stuttgart
1987,78.90,Petra Felke ( GDR ),Leipzig
1988,80.00,Petra Felke ( GDR ),Potsdam
1989,76.88,Petra Felke ( GDR ),Macerata
1990,73.08,Petra Felke ( GER ),Manaus
1991,71.44,Trine Hattestad ( NOR ),Fana
1992,70.36,Natalya Shikolenko ( BLR ),Moscow
