Name,Location,Radio services
Armagh Planetarium,Armagh,Network Studio for BBC Radio Ulster and BBC Radio Foyle
Ballymena Museum & Town Hall,Ballymena,Network Studio for BBC Radio Ulster and BBC Radio Foyle
BBC Blackstaff House,Belfast,
BBC Broadcasting House ( Belfast ),Belfast,BBC Radio Ulster
Ferguson House,Coleraine,Network Studio for BBC Radio Ulster and BBC Radio Foyle
BBC Derry,Derry,BBC Radio Foyle
St. Patrick Centre,Downpatrick,Network studio for BBC Radio Ulster and BBC Radio Foyle
Intec Centre,Enniskillen,Network studio for BBC Radio Ulster and BBC Radio Foyle
Newry Council Offices,Newry,Network studio for BBC Radio Ulster and BBC Radio Foyle
Sketrick House,Newtownards,Network studio for BBC Radio Ulster and BBC Radio Foyle
BBC Omagh,Omagh,Network studio for BBC Radio Ulster
