Date,Era,Title,IMDB,Country,Notes
1928,1431,The Passion of Joan of Arc,[ 1 ],France,Joan of Arc . The film was so powerful that it was initially banned in Britain
1938,12th c,The Adventures of Robin Hood,[ 2 ],USA,"Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard 's absence , a Saxon lord fights back as the outlaw leader of a rebel guerrilla army"
1938,13th c,Alexander Nevsky,[ 3 ],USSR,Russians defend against invading German Teutonic Knights during the Northern Crusades of the 13th century
1957,13th / 14th c,The Seventh Seal,[ 4 ],Sweden,About a knight returning from a crusade who plays a chess game with Death during the Black Plague
1960,13th c,The Virgin Spring,[ 5 ],Sweden,Story of Christian medieval Swedish family whose daughter is raped by vagabonds . Directed by Ingmar Bergman
1961,11th c,El Cid,[ 6 ],USA,Epic film of the legendary Spanish hero
1964,12th c,Becket,[ 7 ],UK,Based on Jean Anouilh 's play about Archbishop of Canterbury Thomas à Becket and King Henry II of England
1965,11th c,The War Lord,[ 8 ],USA,Based on Leslie Stevens ' The Lovers . Charlton Heston is a knight invoking the right to sleep with another man 's bride on their wedding night
1966,15th c,Andrei Rublev,[ 9 ],USSR,Life of Andrei Rublev the great 15th-century Russian icon painter ( Andrey Tarkovsky )
1968,12th c,The Lion in Winter,[ 10 ],UK,King Henry II 's three sons all want to inherit the throne . His sons and wife Eleanor of Aquitaine variously plot . Based ten years after the events of the Revolt of 1173-1174
1976,7th c,"Mohammad , Messenger of God",[ 11 ],UK/Lebanon,Also known as The Message . Tagline : The Story of Islam
1986,14th c,The Name of the Rose,[ 12 ],France/Italy/Germany,Based on the novel by Umberto Eco
1988,14th c,The Navigator : A Medieval Odyssey,[ 13 ],New Zealand,"Seeking relief from the Black Death , guided by a boy 's vision , people dig a tunnel from 14th-century England to 20th-century New Zealand"
