Round,Pick,Player,Position,School
1,3,Dan Currie,Linebacker,Michigan State
2,15,Jim Taylor,Fullback,LSU
3,27,Dick Christy,Back,North Carolina State
3,36,Ray Nitschke,Linebacker,Illinois
4,39,Jerry Kramer,Guard,Idaho
5,51,Joe Francis,Quarterback,Oregon State
6,62,Ken Gray,Tackle,Howard Payne
7,75,Doug Maison,Back,Hillsdale
8,86,Mike Bill,Center,Syracuse
9,99,Norm Jarock,Back,St. Norbert
10,110,Carl Johnson,Tackle,Illinois
11,123,Harry Horton,End,Wichita State
12,134,Wayne Miller,End,Baylor
13,147,Gene Cook,End,Toledo
13,153,Don Herndon,Back,Tampa
14,158,Harry Hauffe,Tackle,South Dakota
15,171,Tom Newell,Back,Drake
16,182,Arley Finley,Tackle,Georgia Tech
17,195,Joe Reese,End,Arkansas Tech
18,206,Chuck Strid,Guard,Syracuse
