Year,Artist,Song
1989,Elvis Costello,Veronica
1991,Crowded House,Chocolate Cake
1993,Herbert Grönemeyer,Chaos
1993,Herbert Grönemeyer,Land unter
1994,Frente !,Bizarre Love Triangle
1994,Siouxsie and the Banshees,O Baby
1994,Siouxsie and the Banshees,Stargazer
1996,Manic Street Preachers,Australia
1997,Bush,Personal Holloway
1997,Mansun,She Makes My Nose Bleed
1998,Placebo,You Do n't Care About Us
1998,Therapy ?,Church of Noise
1998,Neil Finn,Sinner
1998,Therapy ?,"Lonely , Cryin ' , Only"
1999,Suede,Ca n't Get Enough
1999,James,Just Like Fred Astaire
1999,HIM,Join Me in Death
2000,Chicane,No Ordinary Morning
2000,Einstürzende Neubauten,Sabrina
2001,HIM,In Joy and Sorrow
