Rank,Rider,Team,Points
1,Sean Kelly ( IRE ),Sem-France Loire-Campagnolo,429
2,Bernard Hinault ( FRA ),Renault-Elf-Gitane,152
3,Phil Anderson ( AUS ),Peugeot-Shell-Michelin,149
4,Daniel Willems ( BEL ),Sunair-Colnago-Campagnolo,143
5,Stefan Mutter ( SUI ),Puch-Eorotex-Campagnolo,127
6,Pierre-Raymond Villemiane ( FRA ),Wolber-Spidel,123
7,Adri van Houwelingen ( NED ),Vermeer Thijs,103
8,Johan van der Velde ( NED ),TI-Raleigh-Campagnolo,97
9,Leo van Vliet ( NED ),TI-Raleigh-Campagnolo,80
10,Bernard Vallet ( FRA ),La Redoute-Motobécane,74
