Parish,LGA,Towns
Alfred,Ipswich,Grandchester
Blenheim,Lockyer Valley,"Forest Hill , Lawes"
Brassall,Ipswich,"Brassall , Leichhardt , Pine Mountain"
Campbell,Lockyer Valley,"Flagstone Creek , Preston"
Clumber,Scenic Rim,
Colin,Lockyer Valley,
East Haldon,Lockyer Valley,
Fassifern,Scenic Rim,"Aratula , Kalbar"
Ferguson,Ipswich,
Flagstone,Lockyer Valley,"Middle Ridge , Withcott"
Flinders,Scenic Rim,Harrisville
Forbes,Scenic Rim,
Franklin,Ipswich,
Gatton,Lockyer Valley,Gatton
Goolman,Scenic Rim,Peak Crossing
Grandchester,Lockyer Valley,Hatton Vale
Jeebropilly,Ipswich,Amberley
Laidley,Lockyer Valley,Laidley
Mort,Lockyer Valley,
Mutdapilly,Ipswich,Mutdapilly
