Year,Title,Role,Notes
1999,Law & Order : Special Victims Unit,Waitress,Episode : Wanderlust
2001,Law & Order,Cheryl Treadwell,Episode : A Losing Season
2001,Law & Order : Special Victims Unit,Rebecca Chang,Episode : Scourge
2001,The Education of Max Bickford,Nia Sheppard,Episode : A Very Great Man
2002,The Education of Max Bickford,Student volunteer,Episode : Money Changes Everything
2003,Sex and the City,Pam,"Episode : Pick-A-Little , Talk-A-Little"
2004,Without a Trace,Layla,Episode : Legacy
2004,The Sopranos,Amanda Kim,Episode : Sentimental Education
2004,The Parkers,Shaquan,Episode : At Last
2004-2006,Huff,Maggie Del Rosario,Main role ; 21 episodes
2006-2008,NCIS,Michelle Lee,Recurring role ; 12 episodes
2006,Grey 's Anatomy,Noelle Lavatte,Episode : Let the Angels Commit
2007,Law & Order : Special Victims Unit,Forensics technician,4 episodes
2007,Monk,Dr. Souter,Episode : Mr. Monk Goes to the Hospital
2007,Queens Supreme,N/A,Episode : Mad About You ( unaired )
2008,ER,Christine,2 episodes
2008,Dexter,Yuki Amado,Recurring role ; 5 episodes
2009-2010,Dollhouse,Ivy,Recurring role ; 10 episodes
2011,Traffic Light,Lisa Reilly,Main role ; 13 episodes
2012,Psych,Tina,Episode : Let 's Doo-Wop It Again
