Round,Player,Club
1,Dyson Heppell,Essendon
2,Luke Shuey,West Coast
3,Mitch Duncan,Geelong
4,Jasper Pittard,Port Adelaide
5,Brandon Matera,Gold Coast
6,Jack Darling,West Coast
7,Zac Smith,Gold Coast
8,Shane Savage,Hawthorn
9,Reece Conca,Richmond
10,Jack Steven,St Kilda
11,Jordan Gysberts,Melbourne
12,Sam Reid,Sydney
13,Daniel Menzel,Geelong
14,David Swallow,Gold Coast
15,Luke Breust,Hawthorn
16,Jake Batchelor,Richmond
17,Trent McKenzie,Gold Coast
18,Allen Christensen,Geelong
19,Andrew Gaff,West Coast
20,Zac Clarke,Fremantle
