Pos,No,Driver,Constructor,Q2 Time,Gap
1,1,Michael Schumacher,Ferrari,1:17.762,
2,2,Rubens Barrichello,Ferrari,1:18.020,+0.258
3,8,Fernando Alonso,Renault,1:18.233,+0.471
4,7,Jarno Trulli,Renault,1:18.615,+0.853
5,17,Jenson Button,BAR - Honda,1:18.704,+0.942
6,20,Olivier Panis,Toyota,1:18.881,+1.049
7,4,Ralf Schumacher,Williams - BMW,1:19.006,+1.244
8,5,David Coulthard,McLaren - Mercedes,1:19.128,+1.366
9,3,Juan Pablo Montoya,Williams - BMW,1:19.377,+1.615
10,10,Heinz-Harald Frentzen,Sauber - Petronas,1:19.427,+1.665
11,16,Jacques Villeneuve,BAR - Honda,1:19.563,+1.801
12,14,Mark Webber,Jaguar - Cosworth,1:19.615,+1.853
13,21,Cristiano da Matta,Toyota,1:19.623,+1.861
14,9,Nick Heidfeld,Sauber - Petronas,1:19.646,+1.884
15,12,Ralph Firman,Jordan - Ford,1:20.215,+2.453
16,15,Antônio Pizzonia,Jaguar - Cosworth,1:20.308,+2.546
17,11,Giancarlo Fisichella,Jordan - Ford,1:20.976,+3.214
18,18,Justin Wilson,Minardi - Cosworth,1:22.104,+4.342
19,19,Jos Verstappen,Minardi - Cosworth,1:22.237,+4.475
20,6,Kimi Räikkönen,McLaren - Mercedes,1:31.900,+14.138
