Petitioning Group Name,Petitioning Group Ceremony,School,Location,Region,Section
Omega Chi,Prior to Feb 2016,Jacksonville State University,"Jacksonville , Alabama",IV,69
Omega Upsilon,Prior to Feb 2016,Florida International University,"Miami , Florida",IV,71
Upsilon Chi,Prior to Feb 2016,Clark Atlanta University,"Atlanta , Georgia",IV,76
Chi Theta,"February 13 , 2015",Columbus State University,"Columbus , Georgia",IV,69
Delta Lambda,"April 28 , 2016",Coe College,"Cedar Rapids , Iowa",IX,21
Northeastern Illinois University,October 2016,Northeastern Illinois University,"Chicago , Illinois",VI,51
Quincy University,"May 1 , 2016",Quincy University,"Quincy , Illinois",VI,47
Beta Alpha,Prior to Jul 2016,Wichita State University,"Wichita , Kansas",VIII,34
Transylvania University,"October 25 , 2015",Transylvania University,"Lexington , Kentucky",V,67
Xi Psi,Prior to November 2016,Western Kentucky University,"Bowling Green , Kentucky",IV,70
Kettering University,"July 16 , 2016",Kettering University,"Flint , Michigan",VI,55
Livingstone College,"September 16 , 2016",Livingstone College,"Salisbury , North Carolina",III,79
Shawnee State University,Prior to Nov 2016,Shawnee State University,"Portsmouth , Ohio",V,58
Alpha Beta Lambda,Prior to Feb 2016,Wright State University,"Dayton , Ohio",V,57
Saint Joseph 's University,"December 3 , 2015",Saint Joseph 's University,"Philadelphia , Pennsylvania",II,92
Chi Zeta,"February 22 , 2014",University of Tennessee at Martin,"Martin , Tennessee",IV,70
Zeta Eta,Prior to Feb 2016,University of Tennessee at Chattanooga,"Chattanooga , Tennessee",IV,68
Alpha Alpha Chi,"November 11 , 2015",Fairmont State University,"Fairmont , West Virginia",V,61
Virginia Wesleyan College,"November 21 , 2016",Virginia Wesleyan College,"Norfolk , Virginia",III,83
