No,Year,Film,Language,Main Actors
1,2011,Living Together,Malayalam,"Hemanth Menon , Sshivada"
2,2009,Moss & Cat,Malayalam,"Dileep , Ashwathi Ashok , Rahman"
3,2005,Oru Naal Oru Kanavu,Tamil,"Srikanth , Sonia Agarwal"
4,2004,Vismayathumbathu,Malayalam,"Mohanlal , Nayantara , Mukesh"
5,2002,Kaiyethum Doorath,Malayalam,"Fahadh Faasil , Nikitha"
6,2000,Kannukkul Nilavu,Tamil,"Vijay , Shalini , Kaveri"
7,2000,Life Is Beautiful,Malayalam,"Mohanlal , Samyuktha Varma , Geetu Mohandas"
8,1998,Harikrishnans,Malayalam,"Mammootty , Mohanlal , Juhi Chawla"
9,1997,Kadhalukku Mariyadhai,Tamil,"Vijay , Shalini"
10,1997,Aniyathipravu,Malayalam,"Kunchacko Boban , Shalini"
11,1994,Manathe Vellitheru,Malayalam,"Vineeth , Mukesh , Shobhana ,"
12,1993,Kilipetchu Ketkava,Tamil,"Mammootty , Kanaka"
13,1993,Manichitrathazhu,Malayalam,"Mohanlal , Shobhana , Suresh Gopi"
14,1992,Pappayude Swantham Appoos,Malayalam,"Mammootty , Shobhana , Seena , Suresh Gopi"
15,1991,Karpoora Mullai,Tamil,"Amala , Srividya , Raja"
16,1991,Ente Sooryaputhrikku,Malayalam,"Amala , Suresh Gopi , Srividya"
17,1991,Killer,Telugu,"Akkineni Nagarjuna , Nagma"
18,1990,Arangetra Velai,Tamil,"Prabhu , Revathi , V. K. Ramasamy"
19,1989,Varusham Padhinaaru,Tamil,"Karthik , Kushboo"
20,1988,En Bommukutty Ammavukku,Tamil,"Sathyaraj , Raghuvaran , Suhasini"
