Rank,Province ( voivodeship ),2017 ( in EUR ),European countries with similar GDP ( PPS ) per capita
1,Masovia,"33,500",Finland
2,Lower Silesia,"23,100",Lithuania
3,Greater Poland,"22,800",Estonia
4,Silesia,"21,600",Hungary
5,Pomerania,"20,200",Greece
6,Łódź,"19,500",Latvia
7,Lesser Poland,"19,100",Croatia
8,West Pomerania,"17,400",Romania
9,Lubusz,"17,300",Romania
10,Kujawy-Pomerania,"16,900",Romania
11,Opole,"16,600",Romania
12,Podlaskie,"15,000",Bulgaria
13,Świętokrzyskie,"14,900",Bulgaria
14,Warmia-Masuria,"14,700",Bulgaria
15,Podkarpackie,"14,600",Bulgaria
16,Lubelskie,"14,400",Bulgaria
-,Poland,"20,900",Hungary
