Year,Time,Athlete,Location
2019,12:52.98,Telahun Haile Bekele ( ETH ),Rome
2018,12:43.02,Selemon Barega ( ETH ),Brussels
2017,12:55.23,Muktar Edris ( ETH ),Lausanne
2016,12:59.29,Mo Farah ( GBR ),London
2015,12:53.98,Yomif Kejelcha ( ETH ),Rome
2014,12:54.83,Muktar Edris ( ETH ),Stockholm
2013,12:51.34,Edwin Soi ( KEN ),Monaco
2012,12:46.81,Dejen Gebremeskel ( ETH ),Paris
2011,12:53.11,Mo Farah ( GBR ),Monaco
2010,12:51.21,Eliud Kipchoge ( KEN ),Doha
2009,12:52.32,Kenenisa Bekele ( ETH ),Zürich
2008,12:50.18,Kenenisa Bekele ( ETH ),Zürich
2007,12:49.53,Kenenisa Bekele ( ETH ),Zaragoza
2006,12:48.09,Kenenisa Bekele ( ETH ),Brussels
2005,12:40.18,Kenenisa Bekele ( ETH ),Paris
2004,12:37.35,Kenenisa Bekele ( ETH ),Hengelo
2003,12:48.81,Stephen Cherono ( KEN ),Ostrava
2002,12:55.85,Salah Hissou ( MAR ),Rome
2001,12:56.72,Richard Limo ( KEN ),Zürich
2000,12:49.28,Brahim Lahlafi ( MAR ),Brussels
