Valley,Dimension,Eponym,Crater
Vallis Alpes,166 km,Latin name meaning Alpine valley,None
Vallis Baade,203 km,Walter Baade,Baade
Vallis Bohr,80 km,Niels Bohr,Bohr
Vallis Bouvard,284 km,Alexis Bouvard,None
Vallis Capella,49 km,Martianus Capella,Capella
Vallis Inghirami,148 km,Giovanni Inghirami,Inghirami
Vallis Palitzsch,132 km,Johann Palitzsch,Palitzsch
Vallis Planck,451 km,Max Planck,Planck
Vallis Rheita,445 km,Anton Maria Schyrleus of Rheita,Rheita
Vallis Schrödinger,310 km,Erwin Schrödinger,Schrödinger
Vallis Schröteri,168 km,Johann Hieronymus Schröter,Schröter
Vallis Snellius,592 km,Willebrord Snell,Snellius
