Year,Title,Role,Notes
"1996 , 2000",Law & Order,Jenna Weber / Laura Kendrick,Episodes : Savior and Fools for Love
1999,Strangers with Candy,Lizzie Abrams,Episode : Feather in the Storm
2000,Get Real,Nina Adler,Episode : History Lessons
2001,The Job,Sue,Episode : Anger
2001,Strong Medicine,Quincy Dunne,Episode : Wednesday Night Fever
2004,Friends,Missy Goldberg,Episode : The One Where the Stripper Cries
2005-present,Grey 's Anatomy,Dr. Meredith Grey,352 episodes Lead role
2015,Repeat After Me,Herself,Episode 8
2017,Doc McStuffins,Willow ( voice ),Episode : Toy Hospital : Camille Gets Over the Hump/Willow 's Wonky Whiskers
2018,Station 19,Dr. Meredith Grey,Episode : Stuck
2019,RuPaul 's Drag Race : All Stars,Herself,Guest Judge ( season 4 )
