#,Artist,Artist 's nationality,Title
1,Jennifer Lopez featuring Pitbull,United States,On the Floor
2,Alexandra Stan,Romania,Mr. Saxobeat
3,Bruno Mars,United States,Grenade
4,Adele,United Kingdom,Rolling in the Deep
5,Pietro Lombardi,Germany,Call My Name
6,Marlon Roudette,United Kingdom,New Age
7,Snoop Dogg versus David Guetta,United States France,Sweat
8,LMFAO featuring Lauren Bennett and GoonRock,United States United Kingdom United States,Party Rock Anthem
9,"Pitbull featuring Ne-Yo , Afrojack and Nayer",United States Netherlands United States,Give Me Everything
10,Tim Bendzko,Germany,Nur noch kurz die Welt retten
11,Sunrise Avenue,Finland,Hollywood Hills
12,Lucenzo featuring Don Omar,Portugal United States,Danza Kuduro
13,Rihanna featuring Calvin Harris,Barbados United Kingdom,We Found Love
14,Caro Emerald,Netherlands,A Night Like This
15,Maroon 5 featuring Christina Aguilera,United States,Moves like Jagger
16,Adele,United Kingdom,Set Fire to the Rain
17,Lady Gaga,United States,Born This Way
18,Taio Cruz featuring Kylie Minogue,United Kingdom Australia,Higher
19,Lana Del Rey,United States,Video Games
20,Jupiter Jones [ de ],Germany,Still
