Date,Tournament,Location,Winner,Score,1st prize ( $ )
Jan 14,Bing Crosby National Pro-Am,California,Johnny Pott ( 5 ),285 ( −3 ),"16,000"
Jan 21,Kaiser International Open Invitational,California,Kermit Zarley ( 1 ),273 ( −15 ),"25,000"
Jan 28,Los Angeles Open,California,Billy Casper ( 35 ),274 ( −10 ),"20,000"
Feb 4,Bob Hope Desert Classic,California,Arnold Palmer ( 53 ),348 ( −12 ),"20,000"
Feb 11,Andy Williams-San Diego Open Invitational,California,Tom Weiskopf ( 1 ),273 ( −15 ),"30,000"
Feb 18,Phoenix Open Invitational,Arizona,George Knudson ( 5 ),272 ( −12 ),"20,000"
Feb 25,Tucson Open Invitational,Arizona,George Knudson ( 6 ),273 ( −15 ),"20,000"
Mar 10,Doral Open Invitational,Florida,Gardner Dickinson ( 5 ),275 ( −13 ),"20,000"
Mar 17,Florida Citrus Open Invitational,Florida,Dan Sikes ( 5 ),274 ( −14 ),"23,000"
Mar 25,Pensacola Open Invitational,Florida,George Archer ( 3 ),268 ( −20 ),"16,000"
Mar 31,Jacksonville Open Invitational,Florida,Tony Jacklin ( 1 ),273 ( −15 ),"20,000"
Apr 8,Greater Greensboro Open,North Carolina,Billy Casper ( 36 ),267 ( −17 ),"27,500"
Apr 14,Masters Tournament,Georgia,Bob Goalby ( 8 ),277 ( −11 ),"20,000"
Apr 14,Rebel Yell Open,Tennessee,Larry Mowry ( 1 ),279 ( −9 ),"2,800"
Apr 21,Tournament of Champions,Nevada,Don January ( 7 ),276 ( −8 ),"30,000"
Apr 21,Azalea Open Invitational,North Carolina,Steve Reid ( 1 ),271 ( −13 ),"5,000"
Apr 28,Byron Nelson Golf Classic,Texas,Miller Barber ( 3 ),270 ( −10 ),"20,000"
May 5,Houston Champions International,Texas,Roberto De Vicenzo ( 7 ),274 ( −10 ),"20,000"
May 12,Greater New Orleans Open Invitational,Louisiana,George Archer ( 4 ),271 ( −17 ),"20,000"
May 19,Colonial National Invitation,Texas,Billy Casper ( 37 ),275 ( −5 ),"25,000"
