Season,Event type,Location,Format,Date,Rank
2006,Grand Prix,Hamamatsu,Team Constructed,8-9 April 2006,2
2006,Grand Prix,Kuala Lumpur,Sealed and Booster Draft,3-4 June 2006,6
2006,Pro Tour,"Charleston , South Carolina",Team Constructed,16-18 June 2006,1
2006,Grand Prix,Toulouse,Sealed and Booster Draft,24-25 June 2006,7
2006,Grand Prix,Sydney,Sealed and Booster Draft,7-8 October 2006,7
2006,Grand Prix,New Jersey,Sealed and Booster Draft,11-12 November 2006,8
2007,Grand Prix,Strasbourg,Block Constructed,19-20 May 2007,3
2007,Grand Prix,Montreal,Block Constructed,23-24 June 2007,8
2007,Invitational,Essen,Special,18-21 October 2007,8
2007,Grand Prix,Kitakyushu,Sealed and Booster Draft,10-11 November 2007,2
2008,Grand Prix,Manila,Block Constructed,30-31 August 2008,2
2010,Grand Prix,Kuala Lumpur,Standard,13-14 March 2010,5
2010,Grand Prix,Sendai,Standard,5-6 June 2010,3
2010,Nationals,Kyoto,Standard and Booster Draft,2-4 July 2010,5
2011,Grand Prix,Kobe,Extended,23-24 April 2011,1
2011,Grand Prix,Singapore,Standard,4-5 June 2011,5
2011,Nationals,Osaka,Special,15-17 July 2011,6
2011,Grand Prix,Brisbane,Standard,15-16 October 2011,8
2012-13,Grand Prix,Boston-Worcester,Sealed and Booster Draft,25-26 August 2012,8
2012-13,Players Championship,Indianapolis,Special,29-31 August 2012,2
