Market / city,Call sign,Affiliation,Available ?
"Rochester , New York",WUHF,Fox,Yes
"Buffalo , New York",WIVB-TV,CBS,Dropped
"Buffalo , New York",WKBW-TV,ABC,Dropped
"Buffalo , New York",WGRZ,NBC,Dropped
"Buffalo , New York",WUTV,Fox,Dropped
"Buffalo , New York",WNED-TV,PBS,Yes
"Detroit , Michigan",WWJ-TV,CBS,Yes
"Detroit , Michigan",WXYZ-TV,ABC,Yes
"Detroit , Michigan",WDIV-TV,NBC,Yes
"Detroit , Michigan",WJBK,Fox,Dropped
"Detroit , Michigan",WTVS,PBS,Yes
"Spokane , Washington",KREM,CBS,Yes
"Spokane , Washington",KXLY-TV,ABC,Yes
"Spokane , Washington",KHQ-TV,NBC,Yes
"Spokane , Washington",KAYU-TV,Fox,Yes
"Spokane , Washington",KSPS-TV,PBS,Yes
"Seattle , Washington",KIRO-TV,CBS,Yes
"Seattle , Washington",KOMO-TV,ABC,Yes
"Seattle , Washington",KING-TV,NBC,Yes
"Tacoma , Washington",KCPQ,Fox,Yes
