Character,Work,Author,First published
Annie Allen,Annie Allen,Gwendolyn Brooks,1949
Redmond Barry,The Luck of Barry Lyndon,William Makepeace Thackeray,1844
James Bond,James Bond novels and short stories,Ian Fleming,1953-1966
Pinkie Brown,Brighton Rock,Graham Greene,1938
Holden Caulfield,The Catcher in the Rye,J. D. Salinger,1951
Quentin Compson,The Sound and the Fury,William Faulkner,1929
Cross Damon,The Outsider,Richard Wright,1953
Macon Milkman Dead III,Song of Solomon,Toni Morrison,1977
Stephen Dedalus,"A Portrait of the Artist as a Young Man , Ulysses",James Joyce,"1916 , 1922"
Roland Deschain,The Dark Tower series,Stephen King,1982-2012
Raoul Duke,Fear and Loathing in Las Vegas,Hunter S. Thompson,1971
Tyler Durden and the Narrator,Fight Club,Chuck Palahniuk,1996
Geralt of Rivia,The Witcher,Andrzej Sapkowski,1986
Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,1884
Randall Flagg,"The Stand , Eyes of the Dragon and The Dark Tower series",Stephen King,1978-2012
Harry Flashman,The Flashman Papers,George MacDonald Fraser,1969
Artemis Fowl II,Artemis Fowl series,Eoin Colfer,2001
Jay Gatsby,The Great Gatsby,F. Scott Fitzgerald,1925
Prince Hamlet,Hamlet,William Shakespeare,1599-1602
Bob Jones,If He Hollers Let Him Go,Chester Himes,1945
