Year,Winners,Score,Runners-up,Score,Venue
1998,Wexford,0-17 ( 17 ),Kilkenny,1-12 ( 15 ),
1999,Wexford,W/O,Laois,Scr,
2000,Wexford,1-08 ( 11 ),Kilkenny,0-08 ( 08 ),
2001,Wexford,2-10 ( 16 ),Laois,0-09 ( 09 ),
2002,Wexford,1-13 ( 16 ),Kilkenny,1-12 ( 15 ),
2003,Dublin,2-11 ( 17 ),Kilkenny,2-10 ( 16 ),
2004,U.C.D,2-16 ( 22 ),Kilkenny,0-05 ( 05 ),
2005,Kilkenny,1-13 ( 16 ),Wexford,0-10 ( 10 ),
2006,Kilkenny,1-18 ( 21 ),Wexford,1-12 ( 15 ),
2007,Kilkenny,1-13 ( 16 ),Wexford,0-10 ( 10 ),
2008,Antrim,3-09 ( 18 ),Offaly,2-07 ( 13 ),"Casement Park , Belfast"
2009,Kilkenny,2-17 ( 23 ),Galway,1-18 ( 21 ),"Freshford , Co. Kilkenny"
2010,Galway,1-22 ( 25 ),Dublin,1-15 ( 18 ),"Parnell Park , Donnycarney"
2011,Dublin,2-17 ( 23 ),Kilkenny,2-13 ( 19 ),"Parnell Park , Donnycarney"
2012,Kilkenny,2-20 ( 26 ),Galway,1-14 ( 17 ),"Pearse Stadium , Salthill"
2013,Dublin,1-19 ( 22 ),Wexford,0-16 ( 16 ),"Enniscorthy , Co. Wexford"
2014,Kilkenny,0-24 ( 24 ),Dublin,1-17 ( 20 ),"Croke Park , Dublin"
2015,Galway,1-22 ( 25 ),Dublin,1-20 ( 23 ),"Croke Park , Dublin"
2016,Dublin,1-22 ( 25 ),Wexford,1-12 ( 15 ),"Croke Park , Dublin"
2017,Kilkenny,0-20 ( 20 ),Galway,0-18 ( 18 ),"Nowlan Park , Kilkenny"
