Conference,School,Last Appearance,# of Appearances
America East,Albany,2012,2
Atlantic 10,Saint Joseph 's,2000,12
ACC,Duke,2012,20
Atlantic Sun,Stetson,2011,3
Big 12,Baylor,2012,12
Big East,Notre Dame,2012,20
Big Sky,Montana,2011,20
Big South,Liberty,2012,15
Big Ten,Purdue,2012,23
Big West,Cal Poly,Never,1
Colonial,Delaware,2012,4
C-USA,Tulsa,2006,2
Horizon,Green Bay,2012,14
Ivy League,Princeton,2012,4
MAAC,Marist,2012,9
MAC,Central Michigan,1984,3
MEAC,Hampton,2012,7
Missouri Valley,Wichita State,Never,1
Mountain West,Fresno State,2012,5
Northeast,Quinnipiac,Never,1
