Region,Rnd,Host,Venue,City,State
East,1 & 2,University of Texas,Frank Erwin Center,Austin,Texas
East,1 & 2,Duke University,Cameron Indoor Stadium,Durham,North Carolina
East,1 & 2,Baylor University,Ferrell Center,Waco,Texas
East,1 & 2,University of South Carolina,Carolina Coliseum,Columbia,South Carolina
Mideast,1 & 2,Purdue University,Mackey Arena,West Lafayette,Indiana
Mideast,1 & 2,University of Connecticut,Harry A. Gampel Pavilion,Storrs,Connecticut
Mideast,1 & 2,Pennsylvania State University,Bryce Jordan Center,University Park,Pennsylvania
Mideast,1 & 2,Kansas State University,Bramlage Coliseum,Manhattan,Kansas
Midwest,1 & 2,University of North Carolina,Carmichael Auditorium,Chapel Hill,North Carolina
Midwest,1 & 2,University of Tennessee,Thompson-Boling Arena,Knoxville,Tennessee
Midwest,1 & 2,Vanderbilt University,Memorial Gymnasium ( Vanderbilt University ),Nashville,Tennessee
Midwest,1 & 2,Iowa State University,Hilton Coliseum,Ames,Iowa
West,1 & 2,University of Oklahoma,Lloyd Noble Center,Norman,Oklahoma
West,1 & 2,University of Colorado,CU Events Center ( Coors Events Center ),Boulder,Colorado
West,1 & 2,Stanford University,Maples Pavilion,Stanford,California
West,1 & 2,Texas Tech University,United Spirit Arena,Lubbock,Texas
