No,Name,Took office,Party
1,Hernus Kriel,7 May 1994,National Party
2,Gerald Morkel,11 May 1998,New National Party
-,Cecil Herandien ( acting ),12 November 2001,New National Party
3,Peter Marais,5 December 2001,New National Party
-,Piet Meyer ( acting ),3 June 2002,New National Party
4,Marthinus van Schalkwyk,21 June 2002,New National Party
-,Leonard Ramatlakane ( acting ),23 April 2004,African National Congress
5,Ebrahim Rasool,30 April 2004,African National Congress
6,Lynne Brown ( interim ),25 July 2008,African National Congress
7,Helen Zille,6 May 2009,Democratic Alliance
8,Alan Winde,22 May 2019,Democratic Alliance
