No,Name,Party,Date of Appointment,Date of Retirement
1,Vijaypal Singh Tomar,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
2,Anil Agrawal,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
3,Anil Jain,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
4,Sakal Deep Rajbhar,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
5,Harnath Singh Yadav,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
6,Kanta Kardam,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
7,G. V. L. Narasimha Rao,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
8,Ashok Bajpai,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
9,Sudhanshu Trivedi,Bharatiya Janata Party,09-Oct-2019,02-Apr-2024
10,Shiv Pratap Shukla,Bharatiya Janata Party,05-Jul-2016,04-Jul-2022
11,Surendra Singh Nagar,Bharatiya Janata Party,16-Sep-2019,04-Jul-2022
12,Sanjay Seth,Bharatiya Janata Party,16-Sep-2019,04-Jul-2022
13,Arun Singh,Bharatiya Janata Party,05-Dec-2019,25-Nov-2020
14,Neeraj Shekhar,Bharatiya Janata Party,19-Aug-2019,25-Nov-2020
15,Hardeep Singh Puri,Bharatiya Janata Party,09-Jan-2018,25-Nov-2020
16,Jaya Bachchan,Samajwadi Party,03-Apr-2018,02-Apr-2024
17,Beni Prasad Verma,Samajwadi Party,05-Jul-2016,04-Jul-2022
18,Rewati Raman Singh,Samajwadi Party,05-Jul-2016,04-Jul-2022
19,Vishambhar Prasad Nishad,Samajwadi Party,05-Jul-2016,04-Jul-2022
20,Sukhram Singh Yadav,Samajwadi Party,05-Jul-2016,04-Jul-2022
