Medal,Name,Sport,Event,Date
Gold,Sergei Tchepikov,Biathlon,Men 's 10 km sprint,23 February
Gold,Sergei Tarasov,Biathlon,Men 's 20 km individual,20 February
Gold,"Luiza Noskova , Anfisa Reztsova Natalya Snytina , Nadezhda Talanova",Biathlon,Women 's 4 x 7.5 km relay,25 February
Gold,Lyubov Yegorova,Cross-country skiing,Women 's 5 km classical,15 February
Gold,Lyubov Yegorova,Cross-country skiing,Women 's 10 km freestyle pursuit,17 February
Gold,"Nina Gavrilyuk , Larisa Lazutina Yelena Välbe , Lyubov Yegorova",Cross-country skiing,Women 's 4 x 5 km relay,21 February
Gold,Alexei Urmanov,Figure skating,Men 's,19 February
Gold,"Ekaterina Gordeeva , Sergei Grinkov",Figure skating,Pairs,15 February
Gold,"Oksana Grishuk , Evgeny Platov",Figure skating,Ice dance,21 February
Gold,Aleksandr Golubev,Speed skating,Men 's 500 m,14 February
Gold,Svetlana Bazhanova,Speed skating,Women 's 3000 m,17 February
Silver,Svetlana Gladisheva,Alpine skiing,Women 's super-G,15 February
Silver,"Vladimir Drachev , Valeri Kiriyenko Sergei Tarasov , Sergei Tchepikov",Biathlon,Men 's 4 x 7.5 km relay,26 February
Silver,Lyubov Yegorova,Cross-country skiing,Women 's 15 km freestyle,13 February
Silver,"Natalia Mishkutenok , Artur Dmitriev",Figure skating,Pairs,15 February
Silver,"Maya Usova , Alexander Zhulin",Figure skating,Ice dance,21 February
Silver,Sergey Shupletsov,Freestyle skiing,Men 's moguls,16 February
Silver,Sergey Klevchenya,Speed skating,Men 's 500 m,14 February
Silver,Svetlana Fedotkina,Speed skating,Women 's 1500 m,21 February
Bronze,Sergei Tarasov,Biathlon,Men 's 10 km sprint,23 February
