Name,Location,Status
Alpha Alpha Beta Sigma,"Detroit , MI",Active
Alpha Rho Sigma,"Grand Rapids , MI",Active
Beta Xi Sigma,"Dayton , OH",Active
Beta Omicron Sigma,"Columbus , OH",Active
Gamma Alpha Sigma,"Cleveland , OH",Active
Delta Theta Sigma,"Cincinnati , OH",Active
Delta Xi Sigma,"Milwaukee , WI",Active
Delta Rho Sigma,"Akron , OH",Active
Epsilon Beta Sigma,"Louisville , KY",Active
Epsilon Zeta Sigma,"Merrillville , IN",Active
Epsilon Eta Sigma,"Kankakee , IL",Active
Epsilon Lambda Sigma,"East St. Louis , IL",Active
Epsilon Mu Sigma,"Champaign , IL",Active
Epsilon Rho Sigma,"Peoria , IL",Inactive
Epsilon Tau Sigma,"Lansing , MI",Active
Epsilon Upsilon Sigma,"Aurora , IL",Active
Epsilon Chi Sigma,"Chicago , IL",Active
Zeta Eta Sigma,"Fort Wayne , IN",Active
Zeta Nu Sigma,"St. Paul , MN",Active
Eta Alpha Sigma,"Lexington , KY",Active
