Artist,Single,Released,Sales ( in millions )
Miley Cyrus,Party in the U.S.A,2009,5.98
T-Pain,Buy U a Drank ( Shawty Snappin ' ),2007,5.9
Akon,Do n't Matter,2007,5.7
Katy Perry,I Kissed a Girl,2008,5.7
Soulja Boy Tell'em featuring Sammie,Kiss Me thru the Phone,2008,5.7
Alicia Keys,No One,2007,5.6
Usher featuring Young Jeezy,Love in This Club,2008,5.6
Chris Brown,With You,2007,5.5
Swedish House Mafia featuring John Martin,Do n't You Worry Child,2012,5.5
Kanye West,Heartless,2008,5.5
Britney Spears,Circus,2008,5.5
Phillip Phillips,Home,2012,5.4
Greeeen,Ai Uta,2007,5.25
Soulja Boy Tell 'Em,Crank That ( Soulja Boy ),2007,5.2
Shop Boyz,Party Like a Rockstar,2007,5.2
Kanye West,Stronger,2007,5
Ai,Story,2005,5
"Ashida Mana & Suzuki Fuku as Kaoru to Tomoki , Tamani Mook",Maru Maru Mori Mori !,2011,5
Avicii,Levels,2011,5
Kelly Clarkson,Stronger ( What Does n't Kill You ),2012,5
