Name,Position,Nationality,Nominating Organization
Carina Autengruber,President,Austria,Oesterreichische Kinder- und Jugendvertretung ( ÖJV )
Tina Hočevar,Vice President ( NYC ),Slovenia,Mladinski Svet Slovenjie ( MSS )
Ville Majamaa,Vice President ( INGYO ),Finland,World Organisation of the Scout Movement ( European office ) ( WOSM )
Andrea Casamenti,Board Member ( INGYO ),Italy,European Confederation of Youth Clubs ( ECYC )
Frédéric Piccavet,Board Member ( NYC ),Belgium,Vlaamse Jeugdraad ( VJR )
Silja Markkula,Board Member ( NYC ),Finland,Suomen nuorisoalan kattojärjestö Allianssi ( Allianssi )
Loes Rutten,Board Member ( INGYO ),Netherlands,Association des Etats Généraux des Etudiants de lEurope ( AEGEE-Europe )
Jovana Majstorovic,Board Member ( INGYO ),Serbia,Young European Socialists ( YES )
Benjamin Günther,Board Member ( NYC ),Germany,Deutsche Nationalkomitee für internationale Jugendarbeit ( DNK )
Rosalyn Old,Board Member ( INGYO ),Great Britain,World Association of Girl Guides and Girl Scouts ( WAGGGS )
Michael Piccinino,Board Member ( NYC ),Malta,National Youth Council of Malta ( KNZ )
