Name,Position,School,Number,Official selectors,Other selectors
Cas Myslinski,Center,Army,8/8,"AAB , AP , CO , FN , INS , LK , SN , UP","CP , SS"
Bill Daley,Halfback,Michigan,8/8,"AAB , AP , CO , FN , INS , LK , SN , UP","CP , NYS , SS"
Creighton Miller,Halfback,Notre Dame,7/8,"AAB , AP , CO , FN , INS , SN , UP",--
Angelo Bertelli,Quarterback,Notre Dame,7/8,"AAB , CO , FN , INS , LK , SN , UP","CP , NYS , SS"
Ralph Heywood,End,USC,6/8,"AAB , AP , FN , INS , LK , UP","CP , SS"
Jim White,Tackle,Notre Dame,6/8,"AAB , AP , CO , INS , SN , UP",CP
Alex Agase,Guard,Purdue,6/8,"AAB , FN , INS , LK , SN , UP",CP
Bob Odell,Halfback,Penn,5/8,"AP , CO , INS , LK , NYS",--
Don Whitmire,Tackle,Navy,4/8,"AAB , INS , LK , UP",CP
Merv Pregulman,Tackle,Michigan,4/8,"CO , FN , LK , SN",SS
Pat Filley,Guard,Notre Dame,4/8,"CO , FN , SN , UP",--
John Yonakor,End,Notre Dame,3/8,"INS , SN , UP",CP
