Spoofed Title,Actual Title,Writer,Artist,Issue,Date
777 Sunset Strip,77 Sunset Strip ( October 1958-February 1964 ) ( Genre : Crime drama ) ( Broadcaster : ABC ),Larry Siegel,Mort Drucker,52,January 1960
"The Rifle , Man !",The Rifleman ( September 1958-April 1963 ) ( Genre : Western ) ( Broadcaster : ABC ),Nick Meglin,Mort Drucker,53,March 1960
The Arthur Money Party,The Arthur Murray Party ( June 1950-September 1960 ) ( Genre : Variety show ) ( Broadcaster : ABC ),Larry Siegel,Mort Drucker,55,June 1960
Highway Squad,Highway Patrol ( October 1955-September 1959 ) ( Genre : Crime drama ) ( Broadcaster : Broadcast syndication ),Larry Siegel,Mort Drucker,58,October 1960
Lizzie,Lassie ( September 1954-March 1973 ) ( Genre : Adventure ) ( Broadcaster : CBS ),Larry Siegel,Mort Drucker,59,December 1960
Naked Town,Naked City ( September 1958-May 1963 ) ( Genre : Crime drama ) ( Broadcaster : ABC ),Larry Siegel,Mort Drucker,60,January 1961
Sneaky Camera with Allan Funn,"Candid Camera with Allen Funt ( August 1948-Ongoing ) ( Genre : Reality ) ( Broadcaster : ABC , CBS , NBC )",Larry Siegel,Jack Rickard,64,July 1961
Route 67,Route 66 ( October 1960-March 1964 ) ( Genre : Detective duo ) ( Broadcaster : CBS ),Larry Siegel,Mort Drucker,70,April 1962
Bananaz,Bonanza ( September 1959-January 1973 ) ( Genre : Western ) ( Broadcaster : NBC ),Lou Silverstone,Mort Drucker,73,September 1962
Dr. Kiljoy,Dr. Kildare ( September 1961-April 1966 ) ( Genre : Medical drama ) ( Broadcaster : NBC ),Lou Silverstone,Mort Drucker,74,October 1962
The Defensers,The Defenders ( September 1961-May 1965 ) ( Genre : Courtroom drama ) ( Broadcaster : CBS ),Lou Silverstone,Mort Drucker,77,March 1963
The Tenth Hour,The Eleventh Hour ( October 1962-April 1964 ) ( Genre : Medical drama ) ( Broadcaster : NBC ),Lou Silverstone,Mort Drucker,80,July 1963
The Nurtzes,The Nurses ( September 1962-May 1965 ) ( Genre : Medical drama ) ( Broadcaster : CBS ),Stan Hart,Mort Drucker,82,October 1963
Buck 's Law,Burke 's Law ( September 1963-January 1966 ) ( Genre : Crime drama ) ( Broadcaster : ABC ),Frank Jacobs Stan Hart Larry Siegel,Mort Drucker,88,July 1964
The Phewgitive,The Fugitive ( September 1963-August 1967 ) ( Genre : Crime drama ) ( Broadcaster : ABC ),Stan Hart,Mort Drucker,89,September 1964
Mr. Nudnik,Mr. Novak ( September 1963-August 1965 ) ( Genre : Drama ) ( Broadcaster : NBC ),Arnie Kogen,Mort Drucker,91,December 1964
Passion Place,Peyton Place ( September 1964-June 1969 ) ( Genre : Soap opera ) ( Broadcaster : ABC ),Stan Hart,Mort Drucker,95,June 1965
The Man From A.U.N.T.I.E,The Man from U.N.C.L.E . ( September 1964-January 1968 ) ( Genre : Science fiction ) ( Broadcaster : NBC ),Arnie Kogen,Mort Drucker,96,July 1965
The Rooks,The Rogues ( September 1964-April 1965 ) ( Genre : Drama ) ( Broadcaster : NBC ),Stan Hart,Mort Drucker,97,September 1965
Flapper,Flipper ( September 1964-April 1967 ) ( Genre : Adventure ) ( Broadcaster : NBC ),Dick DeBartolo,Mort Drucker,98,October 1965
