Constituency,Candidate,Votes,%,Position
Blackburn,Philip Snowden,"10,762",,1
Bow and Bromley,George Lansbury,"4,315",55.6,1
Bradford West,Fred Jowett,"8,880",66.6,1
Chatham,Frank Smith,"1,103",8.9,3
Glasgow Camlachie,James O'Connor Kessack,"1,539",18.1,3
Halifax,James Parker,"8,511",,2
Leeds South,John Badlay,"2,706",21.5,3
Leicester,Ramsay MacDonald,"12,998",38.5,2
Liverpool Kirkdale,Thomas McKerrell,"2,992",41.6,2
Manchester North East,J. R. Clynes,"4,313",,1
Merthyr Tydfil,Keir Hardie,"11,507",39.6,2
Whitehaven,Thomas Richardson,"1,414",53.7,1
