Country,City,Airport Name,Notes
Egypt,Cairo,Cairo International Airport,-
Ethiopia,Addis Ababa,Bole International Airport,-
Eritrea,Asmara,Asmara International Airport,Hub
Germany,Frankfurt,Frankfurt Airport,Terminated
Italy,Milan,Malpensa International Airport,No scheduled service
Italy,Rome,Leonardo da Vinci-Fiumicino Airport,Terminated
Nigeria,Kano,Mallam Aminu Kano International Airport,No scheduled service
Pakistan,Karachi,Jinnah International Airport,Terminated
Pakistan,Lahore,Allama Iqbal International Airport,Terminated
Saudi Arabia,Jeddah,King Abdulaziz International Airport,-
South Africa,Cape Town,Cape Town International Airport,Terminated
South Africa,Johannesburg,OR Tambo International Airport,Terminated
Sudan,Khartoum,Khartoum International Airport,-
Sudan,Port Sudan,Port Sudan New International Airport,Terminated
United Arab Emirates,Dubai,Dubai International Airport,No scheduled service
