Number,Length ( km ),Length ( mi ),Connecting Highway,Destination
UAR 55,1.703,1.058,Highway 56,Big Valley
UAR 56,1.703,1.058,Highway 45,Dewberry
UAR 57,1.703,1.058,Highway 45,Clandonald
UAR 68,0.763,0.474,Highway 43,Rochfort Bridge
UAR 71,0.557,0.346,Highway 21,Huxley
UAR 73,1.419,0.882,Highway 44,Pibroch
UAR 74,0.805,0.500,Highway 28,Waskatenau
UAR 79,1.374,0.854,Highway 2,Vimy
UAR 81,1.626,1.010,Highway 44,Jarvie
UAR 82,3.248,2.018,Highway 44,Flatbush
UAR 83,3.248,2.018,Highway 44,Fawcett
UAR 84,0.938,0.583,Highway 43,Onoway
UAR 86,0.382,0.237,Highway 13,Hughenden
UAR 87,2.955,1.836,Highway 13,Metiskow
UAR 88,0.350,0.217,Highway 12,Tees
UAR 89,3.267,2.030,Highway 21,Elnora
UAR 90,3.634,2.258,Highway 21,Lousana
UAR 96,3.296,2.048,Highway 28,Bonnyville Beach
UAR 104,0.825,0.513,Highway 28,Warspite
UAR 108,10.527,6.541,Highway 13,Cadogan
