Track Name,Location,Length,Shape/Surface,
Altamont Motorsports Park,California Tracy 37°44′17″N 121°33′48″W / 37.738039°N 121.563249°W / 37.738039 ; -121.563249,0.50 miles ( 0.80 km ) & 0.25 miles ( 0.40 km ),,Closed in 2008
Asheville-Weaverville Speedway,North Carolina Asheville 35°44′25″N 82°33′28″W / 35.740382°N 82.557793°W / 35.740382 ; -82.557793,0.333 miles ( 0.536 km ),Oval,Closed in 1987
Augusta International Raceway,Georgia Augusta 33°21′24″N 82°5′14″W / 33.35667°N 82.08722°W / 33.35667 ; -82.08722,0.50 miles ( 0.80 km ),Oval,Closed in 1970
Beltsville Speedway,Maryland Laurel 39°02′47″N 76°51′05″W / 39.046319°N 76.851296°W / 39.046319 ; -76.851296,0.50 miles ( 0.80 km ),Oval,Closed in 1978
Birmingham International Raceway,Alabama Birmingham 33°29′52″N 86°52′17″W / 33.49778°N 86.87139°W / 33.49778 ; -86.87139,0.625 miles ( 1.006 km ),,Demolished in 2009
Bremerton Speedway,Washington Bremerton,0.90 miles ( 1.45 km ),Oval ( asphalt ),Closed in 1959
Catamount Stadium,Vermont Milton,0.36 miles ( 0.58 km ),Oval ( asphalt ),Closed in 1989
Champion Speedway,North Carolina Fayetteville,0.333 miles ( 0.536 km ),Oval,Closed in 1959
Chicago Motor Speedway,Illinois Cicero 41°49′50″N 87°44′55″W / 41.83056°N 87.74861°W / 41.83056 ; -87.74861,1.029 miles ( 1.656 km ),,Closed in 2003 Demolished in 2005
Columbia Speedway,South Carolina Columbia 33°57′30″N 81°04′40″W / 33.95833°N 81.07778°W / 33.95833 ; -81.07778,0.50 miles ( 0.80 km ),Oval,Closed in 1977
Dayton Speedway,Ohio Dayton 39°43′27″N 84°15′22″W / 39.72417°N 84.25611°W / 39.72417 ; -84.25611,0.50 miles ( 0.80 km ),Oval,Closed in 1982
Dixie Speedway,Alabama Birmingham,0.25 miles ( 0.40 km ),Oval,Closed in 1983
Dog Track Speedway,North Carolina Moyock 36°32′45″N 76°11′33″W / 36.545867°N 76.192524°W / 36.545867 ; -76.192524,0.333 miles ( 0.536 km ),Oval,Closed in 1974
Flemington Speedway,New Jersey Flemington 40°31′35″N 74°51′10″W / 40.52639°N 74.85278°W / 40.52639 ; -74.85278,0.625 miles ( 1.006 km ),,Closed in 2002 Demolished in 2005
Golden Gate Speedway,Florida Tampa 28°03′23″N 82°20′29″W / 28.0564067°N 82.3414805°W / 28.0564067 ; -82.3414805,0.333 miles ( 0.536 km ),Oval,Closed in 1984
Horace Mann Speedway,Massachusetts Franklin,0.50 miles ( 0.80 km ),Oval ( asphalt ),Closed in 1973
I-70 Speedway,Missouri Odessa 39°0′38″N 93°52′33″W / 39.01056°N 93.87583°W / 39.01056 ; -93.87583,0.525 miles ( 0.845 km ),,Closed in 2008
Islip Speedway,New York Islip 40°44′58″N 73°12′41″W / 40.7495°N 73.2115°W / 40.7495 ; -73.2115,0.20 miles ( 0.32 km ),Oval,Closed in 1984
Lake Geneva Raceway,Wisconsin Lake Geneva 42°34′38″N 88°24′22″W / 42.577354°N 88.406115°W / 42.577354 ; -88.406115,0.333 miles ( 0.536 km ) & 0.25 miles ( 0.40 km ),Oval ( asphalt ),Demolished after 2006 season
Little Egypt Kart Raceway Park,Vermont Lyndon,0.20 miles ( 0.32 km ),Oval ( asphalt ),Closed in 2001
