Rank,Age,Name,Year in Film,Date of Birth,Date of Award
1,"94 years , 341 days",Eli Wallach,2010,"December 7 , 1915","November 13 , 2010"
2,"94 years , 83 days",Maureen O'Hara,2014,"August 17 , 1920","November 8 , 2014"
3,"93 years , 334 days",Cicely Tyson,2018,"December 19 , 1924","November 18 , 2018"
4,"88 years , 31 days",Angela Lansbury,2013,"October 16 , 1925","November 16 , 2013"
5,"85 years , 235 days",Myrna Loy,1990,"August 2 , 1905","March 25 , 1991"
6,"85 years , 148 days",Gena Rowlands,2015,"June 19 , 1930","November 14 , 2015"
7,"85 years , 59 days",Lauren Bacall,2009,"September 16 , 1924","November 14 , 2009"
8,"83 years , 182 days",Groucho Marx,1973,"October 2 , 1890","April 2 , 1974"
9,"82 years , 360 days",Charlie Chaplin,1971,"April 16 , 1889","April 10 , 1972"
10,"82 years , 356 days",Mary Pickford,1975,"April 8 , 1893","March 29 , 1976"
