Race,Years held,Total
Abu Dhabi Grand Prix,2009 - 2019,11
Argentine Grand Prix,"1953 - 1958 , 1960 , 1972 - 1975 , 1977 - 1981 , 1995 - 1998",20
Australian Grand Prix,1985 - 2019,35
Austrian Grand Prix,"1964 , 1970 - 1987 , 1997 - 2003 , 2014 - 2019",32
Azerbaijan Grand Prix,2017 - 2019,3
Bahrain Grand Prix,"2004 - 2010 , 2012 - 2019",15
Belgian Grand Prix,"1950 - 1956 , 1958 , 1960 - 1968 , 1970 , 1972 - 2002 , 2004 - 2005 , 2007 - 2019",64
Brazilian Grand Prix,1973 - 2019,47
British Grand Prix,1950 - 2019,70
Caesars Palace Grand Prix,1981 - 1982,2
Canadian Grand Prix,"1967 - 1974 , 1976 - 1986 , 1988 - 2008 , 2010 - 2019",50
Chinese Grand Prix,2004 - 2019,16
Dallas Grand Prix,1984,1
Detroit Grand Prix,1982 - 1988,7
Dutch Grand Prix,"1952 - 1953 , 1955 , 1958 - 1971 , 1973 - 1985",30
European Grand Prix,"1983 - 1985 , 1993 - 1997 , 1999 - 2012 , 2016",23
French Grand Prix,"1950 - 1954 , 1956 - 2008 , 2018 - 2019",60
German Grand Prix,"1951 - 1954 , 1956 - 1959 , 1961 - 2006 , 2008 - 2014 , 2016 , 2018 - 2019",64
Hungarian Grand Prix,1986 - 2019,34
Indian Grand Prix,2011 - 2013,3
