No,Partner,Year
1,Yayuk Basuki,1994-1995
2,Kyōko Nagatsuka,1996
3,Ruxandra Dragomir-Ilie,1997
4,Larisa Savchenko,1998
5,Rika Hiraki,1998
6,Katrina Adams,1999
7,Lisa Raymond,1999-2002
8,Miriam Oremans,2002
9,Martina Navratilova,2002-2005
10,Nathalie Dechy,2006
11,Maria Kirilenko,2006
12,Samantha Stosur,"2006-2007 , 2019"
13,Meghann Shaughnessy,2007
14,Ágnes Szávay,2008
15,Nadia Petrova,2008
16,Rennae Stubbs,2008
17,Cara Black,2008-2011
18,Iveta Benešová,2011
19,Elena Vesnina,2011-2013
20,Sania Mirza,2012 ( Olympics )
