Riding,Candidate 's Name,Gender
Abbotsford,Madeleine Hardin,F
British Columbia Southern Interior,Shan Lavell,F
Burnaby - Douglas,Ken Low,M
Burnaby - New Westminster,Garth Evans,M
Cariboo - Prince George,Sangeeta Lalli,F
Chilliwack - Fraser Canyon,Diane Janzen,F
Delta - Richmond East,Alan Beesley,M
Esquimalt - Juan de Fuca,Lillian Szpak,F
Fleetwood - Port Kells,Pam Dhanoa,F
Kamloops - Thompson - Cariboo,Todd Murray,M
Kelowna - Lake Country,Kris Stewart,F
Kootenay - Columbia,Betty Aitchison,F
Langley,Rebecca Darnell,F
Nanaimo - Alberni,Renee Miller,F
Nanaimo - Cowichan,Brian Fillmore,M
Newton - North Delta,Sukh Dhaliwal,M
New Westminster - Coquitlam,Ken Lee,M
North Vancouver,Taleeb Noormohamed,M
Okanagan - Coquihalla,John Kidder,M
Okanagan - Shuswap,Janna Francis,F
