Name,Authors,Unit,Location,Notes
Agroecomyrmex,"Wheeler , 1910",Baltic amber,Europe,An agroecomyrmecin ant
Agulla protomaculata,"Engel , 2011",Green River Formation,USA,A snake fly
Ainigmapsychops,"Makarkin & Archibald , 2014",Klondike Mountain Formation,USA,A possible psychopsid lacewing
Allorapisma,"Makarkin & Archibald , 2009",Klondike Mountain Formation,USA,An Ithonidae moth lacewing
Anonychomyrma constricta,"( Mayr , 1868 )",Baltic amber,Europe,A dolichoderin ant
Anonychomyrma geinitzi,"( Mayr , 1868 )",Baltic amber,Europe,A dolichoderin ant
Anonychomyrma samlandica,"( Wheeler , 1915 )",Baltic amber,Europe,A dolichoderin ant
Anthidium exhumatum,"Cockerell , 1906",Florissant Formation,USA,A mason bee
Anthidium scudderi,"Cockerell , 1906",Florissant Formation,USA,A mason bee
Aphaenogaster donisthorpei,"Carpenter , 1930",Florissant Formation,USA,A myrmicin ant
Aphaenogaster mayri,"Carpenter , 1930",Florissant Formation,USA,A myrmicin ant
Aphaenogaster mersa,"Wheeler , 1915",Baltic amber,Europe,A myrmicin ant
Aphaenogaster oligocenica,"Wheeler , 1915",Baltic amber,Europe,A myrmicin ant
Aphaenogaster sommerfeldti,"Mayr , 1868",Baltic amber,Europe,A myrmicin ant
Archiinocellia,"Handlirsch , 1910",Horsefly beds,Canada,A snake fly
Archimyrmex,"Cockerell , 1923","Green River Formation , Messel Pit , & Ventana Formation","Europe USA , Argentina","A myrmeciine ant genus , four species described"
Archiponera,"Carpenter , 1930",Florissant Formation,USA,A ponerine ant
Arostropsis,"Yunakov & Kirejtshuk , 2011",Baltic Amber,Europe,A broad nosed weevil
Asymphylomyrmex,"Wheeler , 1915",Baltic Amber,Europe,A dolichoderine ant
Avitomyrmex,"Archibald , Cover , & Moreau , 2006",McAbee Fossil Beds,Canada,A bulldog ant genus ; three species known
