Year,Distance,Athlete,Location
1960,8.21 m ( 26 ft 11 in ),Ralph Boston ( USA ),Walnut
1961,8.28 m ( 27 ft 1 ⁄ 4 in ),Ralph Boston ( USA ),Moscow
1962,8.31 m ( 27 ft 3 in ),Igor Ter-Ovanesyan ( URS ),Yerevan
1963,8.20 m ( 26 ft 11 in ),Ralph Boston ( USA ),Modesto
1964,8.34 m ( 27 ft 4 ⁄ 4 in ),Ralph Boston ( USA ),Los Angeles
1965,8.35 m ( 27 ft 5 in ),Ralph Boston ( USA ),Modesto
1966,8.23 m ( 27 ft 0 in ),Igor Ter-Ovanesyan ( URS ),Leselidze
1967,8.35 m ( 27 ft 4 ⁄ 2 in ),Igor Ter-Ovanesyan ( URS ),Mexico City
1968,8.90 m ( 29 ft 2 ⁄ 4 in ),Bob Beamon ( USA ),Mexico City
1969,8.21 m ( 26 ft 11 in ),Igor Ter-Ovanesyan ( URS ) Waldemar Stępień ( POL ),Odessa Chorzów
1970,8.35 m ( 27 ft 4 ⁄ 2 in ),Josef Schwarz ( FRG ),Stuttgart
1971,8.21 m ( 26 ft 11 in ),Norman Tate ( USA ),El Paso
1972,8.23 m ( 27 ft 0 in ),Randy Williams ( USA ),Munich
1973,8.24 m ( 27 ft ​ 0 ⁄ 2 in ),James McAlister ( USA ),Westwood
1974,8.30 m ( 27 ft 2 ⁄ 4 in ),Arnie Robinson ( USA ),Modesto
1975,8.45 m ( 27 ft 8 ⁄ 2 in ),Nenad Stekić ( YUG ),Montreal
1976,8.35 m ( 27 ft 4 ⁄ 2 in ),Arnie Robinson ( USA ),Montreal
1977,8.27 m ( 27 ft 1 ⁄ 2 in ),Nenad Stekić ( YUG ),Nova Gorica
1978,8.32 m ( 27 ft 3 ⁄ 2 in ),Nenad Stekić ( YUG ),Rovereto
1979,8.52 m ( 27 ft 11 ⁄ 4 in ),Larry Myricks ( USA ),Montreal
