Round,Pick,Player,Team,Position
2,26,Alan Trammell,Detroit Tigers,Shortstop
2,37,Mike Scott,New York Mets,Pitcher
4,74,Dan Petry,Detroit Tigers,Pitcher
4,96,Rickey Henderson,Oakland Athletics,Pitcher
5,98,Jack Morris,Detroit Tigers,Pitcher
5,99,Bruce Benedict,Atlanta Braves,Catcher
7,146,Ozzie Smith *,Detroit Tigers,Shortstop
7,152,Willie McGee *,Chicago White Sox,Outfielder
7,166,Wade Boggs,Boston Red Sox,Shortstop
8,169,Dave Smith,Houston Astros,Pitcher
8,172,Lary Sorensen,Milwaukee Brewers,Pitcher
11,253,Neil Allen,New York Mets,Pitcher
17,405,Rick Honeycutt,Pittsburgh Pirates,First Baseman-Pitcher
18,422,Ron Hassey,Cleveland Indians,Catcher
22,518,Ray Searage,St. Louis Cardinals,Pitcher
