Team,City,Stadium,Capacity,2010 season
Auto Esporte,João Pessoa,Almeidão,"40,000",Campeonato Paraibano 8th place
Botafogo,João Pessoa,Almeidão,"40,000",Campeonato Paraibano runners-up
Campinense,Campina Grande,Amigão,"35,000",Campeonato Paraibano 3rd place
CSP,João Pessoa,Almeidão,"40,000",Campeonato Paraibano Second Division Champions ( promoted )
Desportiva Guarabira,Guarabira,Sílvio Porto,"4,000",Campeonato Paraibano 7th place
Esporte,Patos,José Cavalcanti,"8,000",Campeonato Paraibano 6th place
Miramar,Cabedelo,Estádio da Graça,"5,000",Campeonato Paraibano Second Division runners-up ( promoted )
Nacional,Patos,José Cavalcanti,"8,000",Campeonato Paraibano 5th place
Sousa,Sousa,Marizão,"10,000",Campeonato Paraibano 4th place
Treze,Campina Grande,Amigão,"35,000",Campeonato Paraibano Champions
