Number,Date,Time,Aircraft,Opponent,Location
1,"June 16 , 1918",2000,S.E.5.a,Pfalz D.III,Beaucourt
2,"July 24 , 1918",2035,S.E.5.a,Fokker D.VII,E of Bray
3,"July 28 , 1918",0940,S.E.5.a,Rumpler C.IV,Harbonnières
4,"July 29 , 1918",0800,S.E.5.a,Rumpler C.IV,N of Bois de Tailles
5,"Aug 22 , 1918",1100,S.E.5.a,Rumpler C.IV,SE of Villers-Carbonnel
6,"Aug 23 , 1918",1015,S.E.5.a,Balloon,Ham
7,"August 23 , 1918",1120,S.E.5.a,Rumpler C.IV,Maricourt
8,"Sep 22 , 1918",0845,Sopwith Camel,Fokker D.VII,SE of Fontaine
9,"Sep 22 , 1918",1245,Sopwith Camel,Fokker D.VII,SW of Cambrai
10,"Sep 28 , 1918",1745,Sopwith Camel,LVG C.V,51A M34
11,"Oct 2 , 1918",0910,Sopwith Camel,DFW C.V,E of Awoingt
12,"Oct 14 , 1918",0710,Sopwith Camel,Halberstadt C.V,E of Bazael
13,"Oct 14 , 1918",1400,Sopwith Camel,Fokker D.VII,NE of Hausey
