Name,M,G,Degree,Notes
James Chadwin QC,1951,1954 ?,?,Barrister ; defended the Yorkshire Ripper
Charles Clark,1954,1957,BA Jurisprudence ( 3rd ),Lawyer and publisher ; an expert on copyright
J Duncan M Derrett,1940,1947,BA Modern History,Professor of Oriental Laws in the University of London ( 1965-1982 )
Sir David William Evans,1885,1888,?,"Welsh solicitor who was director and legal advisor of the King Edward VII National Memorial Association for the Prevention and Treatment of Tuberculosis , and knighted for public services to Wales ; previously won his Blue in rugby ( 1887 and 1888 ) and played as a Welsh rugby union international , winning six caps ( 1889-1891 )"
Sidney Hayward QC,1919,1922,BA Jurisprudence ( 2nd ) ( 1st class in Mods in Mathematics ),Barrister and writer on housing and planning law
Alfred Hazel ( F/P ),1888,1894,"BA Literae Humaniores ( 2nd , 1892 ) , BA Jurisprudence ( 1st , 1893 ) , BCL ( 2nd )","All Souls Reader in English Law , Liberal MP for West Bromwich ( 1906 - January 1910 )"
Sir David Lewis ( HF ),1966,1969,BA Jurisprudence,"Former senior partner of Norton Rose Fulbright , Lord Mayor of London ( 2007-2008 )"
Llywarch Reynolds,1868,1875,BA,Welsh solicitor and Celtic scholar ; many of the antiquarian manuscripts he collected are now held by the National Library of Wales
John Williams,1773,-,-,Transferred to Wadham College and graduated from there ; serjeant-at-law and legal writer
Edward Wynne ( F ),1698,1702,"BA ( 1702 ) , MA ( 1705 ) BCL and DCL ( 1711 )","Advocate at Doctors ' Commons , chancellor of the Diocese of Hereford and an Anglesey landowner"
Edward Wynne,1753,DNG,-,Barrister and legal writer ; son of the lawyer William Wynne
William Wynne,1709,1712,BA,Serjeant-at-law and author of The Life of Sir Leoline Jenkins ( 1724 ) ; son of Owen Wynne and father of barrister Edward Wynne
