Company,Research area,Location,Year
AT & T Bell Laboratories,telecommunications,"Berkeley Heights , New Jersey",1989
Merck and Company,pharmaceutical,"Rahway , New Jersey",1990
David Sarnoff Research Center,television,"Princeton , New Jersey",1991
Bell Communications Research,telecommunications,"Livingston , New Jersey",1992
Bristol-Myers Squibb,pharmaceutical,"Princeton , New Jersey",1993
Mobil Research and Development Corporation,petrochemical,"Princeton , New Jersey",1993
Exxon Research and Engineering,petrochemical,"Florham Park , New Jersey",1995
National Starch and Chemical Company,food science,"Bridgewater , New Jersey",1996
Johnson & Johnson,health care,"New Brunswick , New Jersey",1997
Howmedica,health care,"Rutherford , New Jersey",1998
General Magnaplate Corporation,metallurgy,"Linden , New Jersey",2009
Hoffman La Roche,pharmaceutical,"Nutley , New Jersey",2009
Immunomedics,biotechnology,"Morris Plains , New Jersey",2009
Becton Dickinson,health care,"Franklin Lakes , New Jersey",2012
Celgene Corporation,,,2013
Honeywell International Inc,,,2014
