Seasons,Team,Last appearance in Super Bowl,NFL Season,Result
62,Detroit Lions,1957 NFL Championship Game,1957,Won vs. Cleveland
51,New York Jets,Super Bowl III,1968,Won vs. Baltimore Colts
47,Cleveland Browns,1969.1 1969 NFL Championship Game,1969,Lost vs. Minnesota
43,Minnesota Vikings,Super Bowl XI,1976,Lost vs. Oakland Raiders
35,Miami Dolphins,Super Bowl XIX,1984,Lost vs. San Francisco
31,Cincinnati Bengals,Super Bowl XXIII,1988,Lost vs. San Francisco
28,Washington Redskins,Super Bowl XXVI,1991,Won vs. Buffalo
26,Buffalo Bills,Super Bowl XXVIII,1993,Lost vs. Dallas
25,Jacksonville Jaguars,Never ( enfranchised 1995 ),,z -
25,Los Angeles Chargers,Super Bowl XXIX,1994,Lost vs. San Francisco
24,Dallas Cowboys,Super Bowl XXX,1995,Won vs. Pittsburgh
20,Tennessee Titans,Super Bowl XXXIV,1999,Lost vs. St. Louis Rams
18,Houston Texans,Never ( enfranchised 2002 ),,z -
17,Tampa Bay Buccaneers,Super Bowl XXXVII,2002,Won vs. Oakland Raiders
17,Las Vegas Raiders,Super Bowl XXXVII,2002,Lost vs. Tampa Bay
13,Chicago Bears,Super Bowl XLI,2006,Lost vs. Indianapolis
11,Arizona Cardinals,Super Bowl XLIII,2008,Lost vs. Pittsburgh
10,New Orleans Saints,Super Bowl XLIV,2009,Won vs. Indianapolis
10,Indianapolis Colts,Super Bowl XLIV,2009,Lost vs. New Orleans
9,Green Bay Packers,Super Bowl XLV,2010,Won vs. Pittsburgh
