Athlete,Nation,Olympics,Golds,Event ( s )
Gillis Grafström,Sweden ( SWE ),1920-1928,3,men 's singles
Sonja Henie,Norway ( NOR ),1928-1936,3,ladies ' singles
Irina Rodnina,Soviet Union ( URS ),1972-1980,3,pairs
Tessa Virtue / Scott Moir,Canada ( CAN ),"2010 , 2018",3,"2 in ice dance ( 2010 , 2018 ) 1 in team event ( 2018 )"
Karl Schäfer,Austria ( AUT ),1932-1936,2,men 's singles
Dick Button,United States ( USA ),1948-1952,2,men 's singles
Yuzuru Hanyu,Japan ( JPN ),2014-2018,2,men 's singles
Evgeni Plushenko,Russia ( RUS ),"2006 , 2014",2,1 in men 's singles ( 2006 ) 1 in team event ( 2014 )
Katarina Witt,East Germany ( GDR ),1984-1988,2,ladies ' singles
Andrée Brunet / Pierre Brunet,France ( FRA ),1928-1932,2,pairs
Ludmila Belousova / Oleg Protopopov,Soviet Union ( URS ),1964-1968,2,pairs
Alexander Zaitsev,Soviet Union ( URS ),1976-1980,2,pairs
Ekaterina Gordeeva / Sergei Grinkov,Soviet Union ( URS ) Russia ( RUS ),"1988 , 1994",2,pairs
Artur Dmitriev,Unified Team ( EUN ) Russia ( RUS ),"1992 , 1998",2,pairs
Tatiana Volosozhar / Maxim Trankov,Russia ( RUS ),2014,2,1 in pairs 1 in team event
Oksana Grishuk / Evgeny Platov,Russia ( RUS ),1994-1998,2,ice dance
