County No,County Name,Name,Party,Coalition
1,Mombasa,Hassan Omar,WDM-K,CORD
2,Kwale,Issa Juma Boy,ODM,CORD
3,Kilifi,Stewart Madzayo,ODM,CORD
4,Tana-River,Juma Wario,FPK,CORD
5,Lamu,Abu Chiaba,TNA,Jubilee
6,Taita-Taveta,Dan Mwazo,ODM,CORD
7,Garissa,Yusuf Haji,TNA,Jubilee
8,Wajir,Abdirahman Ali,ODM,CORD
9,Mandera,Billow Kerow,URP,Jubilee
10,Marsabit,Godana Hargura,ODM,CORD
11,Isiolo,Mohammed Kuti,URP,Jubilee
12,Meru,Kiraitu Murungi,APK,Jubilee
13,Tharaka Nithi,Kithure Kindiki,TNA,Jubilee
14,Embu,Lenny Kivuti,APK,Jubilee
15,Kitui,David Musila,WDM-K,CORD
16,Machakos,Johnstone Muthama,WDM-K,CORD
17,Makueni,"Mutula Kilonzo , Jr",WDM-K,CORD
18,Nyandarua,Muriuki Karue,TNA,Jubilee
19,Nyeri,Mutahi Kagwe,NARC,Jubilee
20,Kirinyaga,Daniel Karaba,TNA,Jubilee
