Year,Name,Party,Votes,Elected President
2016,Hillary Clinton,Democratic Party,"65,853,516",Donald Trump
2016,Jill Stein,Green Party,"1,457,044",Donald Trump
2012,Jill Stein,Green Party,"468,907",Barack Obama
1988,Lenora Fulani,New Alliance Party,"217,219",George H. W. Bush
2008,Cynthia McKinney,Green Party,"161,797",Barack Obama
1972,Linda Jenness,Socialist Workers Party,"83,380",Richard Nixon
1992,Lenora Fulani,New Alliance Party,"73,714",Bill Clinton
1984,Sonia Johnson,Citizens Party,"72,200",Ronald Reagan
2012,Roseanne Barr,Peace and Freedom Party,"67,326",Barack Obama
1976,Margaret Wright,People 's Party,"49,024",Jimmy Carter
1940,Gracie Allen,Surprise Party,"42,000",Franklin D. Roosevelt
