#,Title,Studio,Star ( s ),Year,Director ( s )
1,Popeye the Sailor Meets Sindbad the Sailor,Fleischer Paramount,"Popeye , Olive , Wimpy , Bluto",1936,Dave Fleischer
2,Peace on Earth,MGM,,1939,Hugh Harman
3,A Wild Hare *,Warner Bros,"Bugs Bunny , Elmer Fudd",1940,Tex Avery
4,Puss Gets the Boot,MGM,Jasper,1940,William Hanna Joseph Barbera
5,Superman,Fleischer Paramount,"Superman , Lois",1941,Dave Fleischer
6,Hiawatha 's Rabbit Hunt,Warner Bros,"Bugs Bunny , Hiawatha",1941,Friz Freleng
7,Rhapsody in Rivets,Warner Bros,,1941,Friz Freleng
8,The Night Before Christmas,MGM,Tom and Jerry,1941,William Hanna Joseph Barbera
9,Blitz Wolf,MGM,,1942,Tex Avery
10,Pigs in a Polka,Warner Bros,,1943,Friz Freleng
11,Swooner Crooner,Warner Bros,,1944,Frank Tashlin
12,Walky Talky Hawky,Warner Bros,"Foghorn Leghorn , Henery Hawk , Barnyard Dawg",1946,Robert McKimson
13,Dr. Jekyll and Mr . Mouse,MGM,Tom and Jerry,1947,William Hanna Joseph Barbera
14,Mouse Wreckers,Warner Bros,"Hubie and Bertie , Claude Cat , Hector the Bulldog",1949,Chuck Jones
