Date,Ship,Country,Builder,Location,Class / type
1 September,Alacrity,United Kingdom,,,Modified Black Swan -class sloop
1 September,Kenton,United States,California Shipbuilding Corporation,Los Angeles,Haskell -class attack transport
2 September,Empire Falkland,United Kingdom,Harland & Wolff,Belfast,Refrigerated cargo liner
2 September,Robert E. Clarkson,United States,Todd Houston Shipbuilding Corporation,"Houston , Texas",Liberty ship
2 September,I-202,Japan,Kure Naval Arsenal,"Kure , Hiroshima",I-201-class submarine
2 September,Sandoval,United States,Kaiser Company,"Vancouver , Washington",Haskell -class attack transport
3 September,Tucson,United States,Bethlehem Steel Corporation,San Francisco,Atlanta -class cruiser
4 September,Empire Asquith,United Kingdom,Shipbuilding Corporation Ltd,Newcastle upon Tyne,Cargo ship
4 September,Anna Dickinson,United States,St. Johns River Shipbuilding Company,"Jacksonville , Florida",Liberty ship
4 September,Benjamin Peixotto,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
4 September,Lanier,United States,California Shipbuilding Corporation,Los Angeles,Haskell -class attack transport
4 September,U 3007,Nazi Germany,AG Weser,Bremen,Type XXI submarine
5 September,Irving Babbitt,United States,Todd Houston Shipbuilding Corporation,"Houston , Texas",Liberty ship
5 September,Empire Alfred,United Kingdom,J S Watson Ltd,Gainsborough,Tug
6 September,Benjamin F. Coston,United States,J . A. Jones Construction Company,"Panama City , Florida",Liberty ship
6 September,Missoula,United States,"Permanente Metals , # 2 Yard","Richmond , California",Haskell -class attack transport
7 September,Jonas Lie,United States,Southeastern Shipbuilding Corporation,"Savannah , Georgia",Liberty ship
7 September,Empire Polly,United Kingdom,William Simons & Co Ltd,Renfrew,Hopper dredger
7 September,U 2512,Nazi Germany,Blohm + Voss,Hamburg,Type XXI submarine
8 September,Ferdinand Gagnon,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
