Club,Coach,Location,Stadium,Capacity,2012
Bunyodkor,Mirjalol Qosimov,Tashkent,Bunyodkor Stadium,"34,000",2nd
FK Bukhoro,Tachmurad Agamuradov,Bukhoro,Buxoro Arena,"22,700",7th
FK Guliston,Bakhtiyor Ashurmatov,Guliston,Guliston Stadium,"12,400","D1 , 2nd"
Lokomotiv Tashkent,Khakim Fuzailov,Tashkent,Lokomotiv Stadium,"8,000",3rd
Metallurg Bekabad,Rustam Mirsodiqov,Bekabad,Metallurg Bekabad Stadium,"11,000",10th
Nasaf Qarshi,Ruziqul Berdiev,Qarshi,Qarshi Stadium,"14,750",4th
Navbahor Namangan,Usmon Asqaraliev,Namangan,Kosonsoy Stadium,"30,000",12th
Neftchi Farg'ona,Evgeniy Shokhin,Farghona,Farghona Stadium,"14,520",6th
Olmaliq FK,Igor Shkvyrin,Olmaliq,Metallurg Stadium,"11,000",8th
Pakhtakor,Murod Ismailov,Tashkent,Pakhtakor Stadium,"35,000",Champions
Qizilqum Zarafshon,Yuriy Lukin,Zarafshon,Progress Stadium,"6,000",11th
Dinamo,Ravshan Khaydarov,Samarqand,Olimpiya Stadium,"12,250",9th
Sogdiana Jizzakh,Davron Fayziev,Jizzakh,Zaamin Stadium,"4,000","D1 , 1st"
Sho'rtan Ghuzor,Erkin Mirzaev,Ghuzor,Ghuzor Stadium,"7,000",5th
