Cyclone,Season,Peak classification,Peak 10-min sustained winds,Pressure
Chris-Damia,1981-82,Intense tropical cyclone,210 km/h ( 130 mph ),898 hPa ( 26.52 inHg )
Geralda,1993-94,Intense tropical cyclone,200 km/h ( 125 mph ),905 hPa ( 26.72 inHg )
Litanne,1993-94,Intense tropical cyclone,190 km/h ( 120 mph ),910 hPa ( 26.87 inHg )
Marlene,1994-95,Intense tropical cyclone,180 km/h ( 110 mph ),920 hPa ( 27.17 inHg )
Bonita,1995-96,Intense tropical cyclone,180 km/h ( 110 mph ),920 hPa ( 27.17 inHg )
Danielle,1996-97,Intense tropical cyclone,190 km/h ( 120 mph ),915 hPa ( 27.02 inHg )
Hudah,1999-2000,Very Intense tropical cyclone,220 km/h ( 135 mph ),905 hPa ( 26.72 inHg )
Dina,2001-02,Intense tropical cyclone,215 km/h ( 135 mph ),910 hPa ( 26.87 inHg )
Guillaume,2001-02,Intense tropical cyclone,205 km/h ( 125 mph ),920 hPa ( 27.17 inHg )
Hary,2001-02,Very Intense tropical cyclone,220 km/h ( 135 mph ),905 hPa ( 26.72 inHg )
Kalunde,2002-03,Intense tropical cyclone,215 km/h ( 135 mph ),905 hPa ( 26.72 inHg )
Gafilo,2003-04,Very Intense tropical cyclone,230 km/h ( 145 mph ),895 hPa ( 26.43 inHg )
Adeline-Juliet,2004-05,Very Intense tropical cyclone,220 km/h ( 135 mph ),905 hPa ( 26.72 inHg )
Bento,2004-05,Intense tropical cyclone,215 km/h ( 135 mph ),915 hPa ( 27.02 inHg )
Carina,2005-06,Intense tropical cyclone,205 km/h ( 125 mph ),915 hPa ( 27.02 inHg )
Hondo,2007-08,Intense tropical cyclone,215 km/h ( 135 mph ),915 hPa ( 27.02 inHg )
Edzani,2009-10,Very Intense tropical cyclone,220 km/h ( 135 mph ),910 hPa ( 26.87 inHg )
Bruce,2013-14,Very Intense tropical cyclone,220 km/h ( 135 mph ),920 hPa ( 27.17 inHg )
Colin,2013-14,Intense tropical cyclone,205 km/h ( 125 mph ),915 hPa ( 27.02 inHg )
Hellen,2013-14,Very Intense tropical cyclone,230 km/h ( 145 mph ),915 hPa ( 27.02 inHg )
