Season,Winner,Team,Player 's humanitarian contribution
1987-88,Lanny McDonald,Calgary Flames,Supporter of numerous charities in Toronto and Calgary
1988-89,Bryan Trottier,New York Islanders,"Worked with numerous charities , including the Special Olympics , the Long Island Just Say No to Drugs program , and the Make-A-Wish Foundation"
1989-90,Kevin Lowe,Edmonton Oilers,"Although very busy as a player and with the NHLPA , he was made the honorary Chairman of the Edmonton City Christmas Bureau , a charity which fed needy persons"
1990-91,Dave Taylor,Los Angeles Kings,"Did a lot of charity work with his team , and also assisted persons with speech impediments , as he had previously overcome one"
1991-92,Ray Bourque,Boston Bruins,Involved in numerous charities ; he was most notably the honourable Chairman for Boston 's Floating Hospital for Infants and Children
1992-93,Dave Poulin,Boston Bruins,Spent a lot of time helping charities ; he was Co-Chairman of the March of Dimes Walk for Life fundraiser
1993-94,Adam Graves,New York Rangers,"Was previously recognized by his team and city for his extensive community work . He most notably served as Celebrity Chairman of New York 's Family Dynamic program , a charity which assists abused children"
1994-95,Joe Nieuwendyk,Calgary Flames,"Was the captain of the Flames , and was leader in most of the Flames ' charitable and humanitarian efforts"
1995-96,Kris King,Winnipeg Jets,Was the Jets ' captain as well as a major participant in various charitable organizations
1996-97,Trevor Linden,Vancouver Canucks,"Started a program called the Captain 's Crew , which allowed underprivileged children to attend games in a private suite as his guest"
1997-98,Kelly Chase,St. Louis Blues,"Heavily involved with the Gateway Project , which helped mentally challenged children get involved in various sports"
1998-99,Rob Ray,Buffalo Sabres,"Involved with many charities , including the March of Dimes , the Make-a-Wish Foundation , Walk America and the Roswell Cancer Institute and Children 's hospital"
1999-2000,Curtis Joseph,Toronto Maple Leafs,"Worked mainly with sick children ; he started Cujo 's Kids , which placed children with illnesses in a luxury suite at a Leafs game ; also created Cujo 's Crease , a special room in the Sick Kids Hospital in Toronto which resembled the Leafs ' dressing room"
2000-01,Shjon Podein,Colorado Avalanche,"Founded the Shjon Podein Children 's Foundation , which assists sick and underprivileged children"
2001-02,Ron Francis,Carolina Hurricanes,"Involved in a program with Duke Children 's Hospital in Durham , North Carolina that helps children"
2002-03,Brendan Shanahan,Detroit Red Wings,Started a program that assists with the purchase and installation of smoke detectors for low-income households
2003-04,Jarome Iginla,Calgary Flames,"Involved in all of the Flames ' community programs , and donated 1,000 dollars for every goal he scored"
2004-05,-,-,-
2005-06,Olaf Kolzig,Washington Capitals,"Co-founded Athletes against Autism after discovering that his son , Carson , had autism ; also involved with numerous other charities"
2006-07,Saku Koivu,Montreal Canadiens,"After recovering from cancer , he founded the Saku Koivu Foundation in 2002 , which had raised around 2.5 million dollars when Koivu was awarded"
