Conference,Nickname,Founded,Members,Sport,Headquarters
Central Intercollegiate Bowling Conference,CIBC,2019,6,Bowling,
Colonial Hockey Conference,CHC,2015,7,Women 's ice hockey,
Continental Volleyball Conference,CVC,2011,9,Men 's volleyball,"Madison , New Jersey"
ECAC West,ECAC-W,,6 ( men ) 10 ( women ),Ice hockey,"Danbury , Connecticut"
Midwest Collegiate Volleyball League,MCVL,2014,6,Men 's volleyball,"Cedar Rapids , Iowa"
Midwest Lacrosse Conference,MLC,2009,8,Men 's lacrosse,"Waukesha , Wisconsin"
Midwest Women 's Lacrosse Conference,MWLC,2010,10,Women 's Lacrosse,"Waukesha , Wisconsin"
New England Hockey Conference,NEHC,2015,10 ( men ) 13 ( women ),Ice hockey,N/A
Northern Collegiate Hockey Association,NCHA,1981,10 ( men ) 7 ( women ),Ice hockey,"Waukesha , Wisconsin"
Ohio River Lacrosse Conference,ORLC,2014,7 ( men ) 10 ( women ),Lacrosse,"Greenwood , Indiana"
United Volleyball Conference,UVC,2010,9,Men 's volleyball,"Rochester , New York"
