Year,Hosts,Artists
"1951 , 1952 , 1953 , 1954 , 1955 , 1956 , 1957 , 1958",Eric Morley,
1959,Bob Hope,
1960,Bob Hope,Herald Trumpeters of the Royal Artillery
1961,Michael Aspel,Bob Hope
"1962 , 1963 , 1964",Michael Aspel,
1965,"David Jacobs , Michael Aspel","Ronnie Carroll , Lionel Blair"
1966,"Peter West , Michael Aspel","The Three Monarchs , Mark Wynter"
1967,"Simon Dee , Michael Aspel","Malcolm Roberts , Los Zafiros"
1968,"Michael Aspel , commentary by Keith Fordyce",Gene Pitney
1969,"Michael Aspel , Pete Murray","Frank Ifield , The Roy Budd Trio , Lionel Blair"
1970,"Bob Hope , Michael Aspel , Keith Fordyce",
"1971 , 1972 , 1973 , 1974",Michael Aspel and David Vine,
1975,David Vine and Ray Moore,
1976,"Sacha Distel , Patrick Lichfield , and Ray Moore",
1977,"Andy Williams , and Ray Moore",
1978,Sacha Distel and Paul Burnett,
1979,"Sacha Distel , Esther Rantzen , Germaine Greer and Ray Moore",
1980,"Peter Marshall , Judith Chalmers and Anthony Newley",Anthony Newley and The Dougie Squires Dancers
"1981 , 1982 , 1983 , 1984 , 1985",Peter Marshall and Judith Chalmers,1981 - Julio Iglesias and The Dougie Squires Dancers 1982 - The Three Degrees 1983 - Leo Sayer and The Ken Warwick Dancers 1984 - The Drifters and The Ken Warwick Dancers 1985 - Jack Jones and The Ken Warwick Dancers
1986,Peter Marshall and Mary Stävin,Five Star and The Ken Warwick Dancers
