Medal,Name,Sport,Event
Gold,Maria Gusakova,Cross-country skiing,Women 's 10 km
Gold,Yevgeny Grishin,Speed skating,Men 's 500 m
Gold,Yevgeny Grishin,Speed skating,Men 's 1500 m
Gold,Viktor Kosichkin,Speed skating,Men 's 5000 m
Gold,Klara Nesterova-Guseva,Speed skating,Women 's 1000 m
Gold,Lidiya Skoblikova,Speed skating,Women 's 1500 m
Gold,Lidiya Skoblikova,Speed skating,Women 's 3000 m
Silver,Lyubov Baranova,Cross-country skiing,Women 's 10 km
Silver,Radya Yeroshina Maria Gusakova Lyubov Baranova,Cross-country skiing,Women 's 3 x 5 km relay
Silver,Viktor Kosichkin,Speed skating,Men 's 10000 m
Silver,Natalya Donchenko,Speed skating,Women 's 500 m
Silver,Valentina Stenina,Speed skating,Women 's 3000 m
Bronze,Aleksandr Privalov,Biathlon,Men 's 20 km
Bronze,Nikolay Anikin,Cross-country skiing,Men 's 30 km
Bronze,Anatoly Shelyukhin Gennady Vaganov Aleksey Kuznetsov Nikolay Anikin,Cross-country skiing,Men 's 4 × 10 km relay
Bronze,Radya Yeroshina,Cross-country skiing,Women 's 10 km
Bronze,Soviet Union men 's national ice hockey team Nikolai Puchkov Yevgeny Yerkin Nikolai Sologubov Yury Baulin Nikolay Karpov Genrikh Sidorenkov Alfred Kuchevsky Veniamin Alexandrov Aleksandr Almetov Konstantin Loktev Mikhail Bychkov Vladimir Grebennikov Yury Tsitsinov Viktor Yakushev Yevgeny Groshev Stanislav Petukhov Viktor Pryazhnikov,Ice hockey,Men 's competition
Bronze,Nikolay Gusakov,Nordic combined,Men 's individual ( 15 km )
Bronze,Rafael Grach,Speed skating,Men 's 500 m
Bronze,Boris Stenin,Speed skating,Men 's 1500 m
