Pick #,MLS team,Player,Position,Affiliation
1,New England Revolution,Andrew Farrell *,Defender,Louisville River City Rovers
2,Chivas USA,Carlos Alvarez,Midfielder,Connecticut
3,Toronto FC,Kyle Bekker,Midfielder,Boston College
4,Vancouver Whitecaps FC,Kekuta Manneh *,Forward,Austin Aztex
5,Vancouver Whitecaps FC,Erik Hurtado,Forward,Santa Clara Portland Timbers U23s
6,Colorado Rapids,Deshorn Brown *,Forward,UCF Reading United
7,FC Dallas,Walker Zimmerman *,Defender,Furman
8,Montreal Impact,Blake Smith,Midfielder,New Mexico Austin Aztex
9,Columbus Crew,Ryan Finley,Forward,Notre Dame Reading United
10,Seattle Sounders FC,Eriq Zavaleta *,Forward,Indiana
11,Colorado Rapids,Dillon Powers,Midfielder,Notre Dame Austin Aztex
12,Real Salt Lake,John Stertzer,Midfielder,Maryland
13,Houston Dynamo,Jason Johnson *,Forward,VCU
14,Sporting Kansas City,Mikey Lopez *,Midfielder,North Carolina Orange County Blue Star
15,San Jose Earthquakes,Tommy Muller,Defender,Georgetown
16,Toronto FC,Emery Welshman,Forward,Oregon State Portland Timbers U23s
17,D.C. United,Taylor Kemp,Defender,Maryland Real Colorado Foxes
18,Montreal Impact,Fernando Monge,Midfielder,UCLA Seattle Sounders FC U-23
19,Los Angeles Galaxy,Charlie Rugg,Forward,Boston College Worcester Hydra
