Year,Overall Winner,Second,Third
2019,Adrien Guillonnet ( FRA ),Vadim Pronskiy ( KAZ ),Frederik Dombrowski ( GER )
2018,Boris Carène ( FRA ),Francisco Mancebo ( SPA ),Yonathan Salinas ( VEN )
2017,Sébastien Fournet-Fayard ( FRA ),Juan Murillo ( VEN ),Žydrūnas Savickas ( LTU )
2016,Damien Monier ( FRA ),Maxime Le Lavandier ( FRA ),José Chacón Díaz ( VEN )
2015,Boris Carène ( FRA ),Diego Milán ( DOM ),Antonio Pedrero ( ESP )
2014,John Nava ( VEN ),Damien Monier ( FRA ),Juan Murillo ( VEN )
2013,Pierre Lebreton ( FRA ),José Chacón Díaz ( VEN ),Miyataka Shimizu ( JPN )
2012,Ludovic Turpin ( FRA ),Bruno Langlois ( CAN ),Junya Sano ( JPN )
2011,Boris Carène ( GLP ),Klaas Sys ( BEL ),Carter Jones ( USA )
2010,Francisco Mancebo ( ESP ),Boris Carène ( GLP ),Edwin Sánchez ( COL )
2009,Nicolas Dumont ( FRA ),Miguel Ubeto ( VEN ),Edwin Sánchez ( COL )
2008,Flober Peña ( COL ),Cameron Evans ( CAN ),Edwin Sánchez ( COL )
2007,Flober Peña ( COL ),Nicolas Dumont ( FRA ),Edwin Sánchez ( COL )
2006,Martin Prázdnovský ( SVK ),José Daniel Bernal ( COL ),Andrey Mizourov ( KAZ )
2005,Flober Peña ( COL ),José Daniel Bernal ( COL ),Alexander Mironov ( RUS )
